"file","column","total","missing"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\test.csv","age_at_initial_pathologic_diagnosis","77","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\test.csv","sex","77","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\train.csv","age_at_initial_pathologic_diagnosis","346","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\train.csv","sex","346","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\test.csv","age_at_initial_pathologic_diagnosis","72","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\test.csv","sex","72","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\train.csv","age_at_initial_pathologic_diagnosis","351","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\train.csv","sex","351","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\test.csv","age_at_initial_pathologic_diagnosis","119","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\test.csv","sex","119","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\train.csv","age_at_initial_pathologic_diagnosis","304","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\train.csv","sex","304","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\test.csv","age_at_initial_pathologic_diagnosis","81","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\test.csv","sex","81","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\train.csv","age_at_initial_pathologic_diagnosis","342","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\train.csv","sex","342","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=4\test.csv","age_at_initial_pathologic_diagnosis","74","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=4\test.csv","sex","74","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=4\train.csv","age_at_initial_pathologic_diagnosis","349","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=4\train.csv","sex","349","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=0\test.csv","age_at_initial_pathologic_diagnosis","213","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=0\test.csv","sex","213","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=0\train.csv","age_at_initial_pathologic_diagnosis","715","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=0\train.csv","sex","715","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=1\test.csv","age_at_initial_pathologic_diagnosis","171","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=1\test.csv","sex","171","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=1\train.csv","age_at_initial_pathologic_diagnosis","757","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=1\train.csv","sex","757","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=2\test.csv","age_at_initial_pathologic_diagnosis","198","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=2\test.csv","sex","198","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=2\train.csv","age_at_initial_pathologic_diagnosis","730","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=2\train.csv","sex","730","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=3\test.csv","age_at_initial_pathologic_diagnosis","166","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=3\test.csv","sex","166","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=3\train.csv","age_at_initial_pathologic_diagnosis","762","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=3\train.csv","sex","762","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=4\test.csv","age_at_initial_pathologic_diagnosis","180","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=4\test.csv","sex","180","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=4\train.csv","age_at_initial_pathologic_diagnosis","748","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BRCA_overall_survival_k=4\train.csv","sex","748","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=0\test.csv","age_at_initial_pathologic_diagnosis","58","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=0\test.csv","sex","58","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=0\train.csv","age_at_initial_pathologic_diagnosis","242","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=0\train.csv","sex","242","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=1\test.csv","age_at_initial_pathologic_diagnosis","71","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=1\test.csv","sex","71","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=1\train.csv","age_at_initial_pathologic_diagnosis","229","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=1\train.csv","sex","229","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=2\test.csv","age_at_initial_pathologic_diagnosis","46","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=2\test.csv","sex","46","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=2\train.csv","age_at_initial_pathologic_diagnosis","254","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=2\train.csv","sex","254","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=3\test.csv","age_at_initial_pathologic_diagnosis","68","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=3\test.csv","sex","68","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=3\train.csv","age_at_initial_pathologic_diagnosis","232","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=3\train.csv","sex","232","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=4\test.csv","age_at_initial_pathologic_diagnosis","57","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=4\test.csv","sex","57","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=4\train.csv","age_at_initial_pathologic_diagnosis","243","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_COADREAD_overall_survival_k=4\train.csv","sex","243","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=0\test.csv","age_at_initial_pathologic_diagnosis","58","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=0\test.csv","sex","58","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=0\train.csv","age_at_initial_pathologic_diagnosis","288","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=0\train.csv","sex","288","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=1\test.csv","age_at_initial_pathologic_diagnosis","45","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=1\test.csv","sex","45","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=1\train.csv","age_at_initial_pathologic_diagnosis","301","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=1\train.csv","sex","301","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=2\test.csv","age_at_initial_pathologic_diagnosis","70","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=2\test.csv","sex","70","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=2\train.csv","age_at_initial_pathologic_diagnosis","276","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=2\train.csv","sex","276","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=3\test.csv","age_at_initial_pathologic_diagnosis","77","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=3\test.csv","sex","77","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=3\train.csv","age_at_initial_pathologic_diagnosis","269","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=3\train.csv","sex","269","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=4\test.csv","age_at_initial_pathologic_diagnosis","96","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=4\test.csv","sex","96","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=4\train.csv","age_at_initial_pathologic_diagnosis","250","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_KIRC_overall_survival_k=4\train.csv","sex","250","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=0\test.csv","age_at_initial_pathologic_diagnosis","101","8"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=0\test.csv","sex","101","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=0\train.csv","age_at_initial_pathologic_diagnosis","362","2"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=0\train.csv","sex","362","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=1\test.csv","age_at_initial_pathologic_diagnosis","133","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=1\test.csv","sex","133","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=1\train.csv","age_at_initial_pathologic_diagnosis","330","10"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=1\train.csv","sex","330","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=2\test.csv","age_at_initial_pathologic_diagnosis","80","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=2\test.csv","sex","80","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=2\train.csv","age_at_initial_pathologic_diagnosis","383","10"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=2\train.csv","sex","383","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=3\test.csv","age_at_initial_pathologic_diagnosis","79","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=3\test.csv","sex","79","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=3\train.csv","age_at_initial_pathologic_diagnosis","384","10"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=3\train.csv","sex","384","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=4\test.csv","age_at_initial_pathologic_diagnosis","70","2"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=4\test.csv","sex","70","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=4\train.csv","age_at_initial_pathologic_diagnosis","393","8"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_LUAD_overall_survival_k=4\train.csv","sex","393","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=0\test.csv","gender","42","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=0\train.csv","gender","276","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=1\test.csv","gender","56","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=1\train.csv","gender","262","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=2\test.csv","gender","101","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=2\train.csv","gender","217","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=3\test.csv","gender","45","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=3\train.csv","gender","273","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=4\test.csv","gender","74","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_STAD_overall_survival_k=4\train.csv","gender","244","0"
